Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Log_Worldwide_Gross
2015,2010,1,1,2,7,19,1,0.028073506856857125,0.6891891891891893,14.914123179965662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.50094651289973
1999,1990,0,2,17,3,19,295,0.15448013168761268,0.6756756756756757,16.249124001084017,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.72557147791231
1992,1990,0,1,9,11,19,152,0.03509609712523244,0.7837837837837838,16.097893045681612,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.490693637706347
1993,1990,0,2,17,1,19,320,0.0842542290038596,0.8108108108108107,16.840801682303496,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.27465604051448
2007,2000,0,1,5,5,19,13,0.0842542290038596,0.5405405405405406,15.830413711839864,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.602204854293433
1992,1990,0,2,5,1,19,320,0.08706326511120972,0.8243243243243243,17.126053607854647,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.016646020036973
2002,2000,0,1,11,1,19,24,0.12919880672146156,0.7162162162162162,17.151280169891162,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.852175805597565
1997,1990,0,2,8,1,19,7,0.09829940954061021,0.7837837837837838,17.172407715573055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.945687208351472
1996,1990,0,1,6,1,19,44,0.11234459007736083,0.5810810810810811,14.508658238524095,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.130694879288455
1990,1990,0,2,10,3,19,271,0.15167109558026257,0.7702702702702704,17.426428497635523,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.03636752668099
2012,2010,1,1,1,1,19,68,0.042118687393607745,0.6216216216216216,15.501909696719672,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.74195903416984
1983,1980,0,2,17,3,19,320,0.07020904846710899,0.8648648648648649,18.15410764776565,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.30600189707449
1989,1980,0,1,6,5,19,320,0.053354831823008236,0.6621621621621622,15.176487367510099,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.82653976810011
1985,1980,0,2,2,3,19,6,0.07863615678915935,0.45945945945945943,13.384729180332174,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.092464549860551
2003,2000,0,1,10,1,19,99,0.12919880672146156,0.6351351351351351,16.388122864507256,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.735114168426584
1991,1990,0,1,14,1,19,271,0.08144519289650948,0.6486486486486487,14.914123179965662,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.24369455195568
1980,1980,0,1,7,1,19,9,0.03088254296420724,0.6216216216216216,14.508658238524095,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.10451065828144
2004,2000,0,2,2,9,19,1,0.0842542290038596,0.6891891891891893,15.096444681204078,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.188943750396508
1993,1990,0,1,5,4,1,1,0.025264470749506995,0.6351351351351351,13.180634172318978,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.81978634653712
1988,1980,0,1,1,1,1,271,0.02245543464215688,0.6081081081081081,12.154784614286667,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.75632724771246
2009,2000,0,0,7,5,1,1,0.011219290212756389,0.4054054054054054,14.557448378884015,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.166359331170217
2003,2000,0,1,6,3,2,10,0.11234459007736083,0.5135135135135135,14.285514812209815,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.409918549541185
2003,2000,0,1,4,4,2,11,0.2640325398742675,0.8378378378378379,18.392281279718734,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.964340629883065
1982,1980,0,2,11,2,2,97,0.03369157907155737,0.6756756756756757,12.429220196836383,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.33920276760668
1981,1980,0,1,1,2,2,45,0.04773675960830799,0.5945945945945946,13.753636218075409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.481467244430448
2018,2010,1,2,22,3,1,10,0.7724680753046399,0.6756756756756757,17.236510599602347,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.091713896172095
2018,2010,1,1,8,2,1,1,0.028073506856857125,0.7162162162162162,13.199326270390594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.594415822345145
1993,1990,0,1,6,7,10,44,0.05616386793035836,0.6081081081081081,14.690979711984754,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.955509976437977
2000,2000,0,0,1,1,10,1,0.053354831823008236,0.31081081081081074,12.873904582205107,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.10114787641874
2001,2000,0,1,1,1,10,1,0.3848210924903228,0.6081081081081081,15.90737474309945,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.562296648332598
1996,1990,0,2,5,1,10,1,0.07020904846710899,0.527027027027027,13.1421679654829,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.729391855697255
2001,2000,0,0,2,2,10,295,0.1685253122243633,0.43243243243243246,15.555976908243359,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.419844573477626
1996,1990,0,2,15,4,10,44,0.10110844564796034,0.6486486486486487,13.815511557963774,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.707598031530733
2017,2010,1,1,2,2,10,28,0.3511126592021213,0.5945945945945946,16.249124001084017,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.387127406256912
1988,1980,0,1,19,2,10,5,0.042118687393607745,0.7567567567567568,17.11134746100564,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.425803696492586
2006,2000,0,1,1,1,10,5,0.016837362427456634,0.527027027027027,13.60479076121576,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.262182226637693
1994,1990,0,1,4,1,10,320,0.07020904846710899,0.5675675675675675,14.690979711984754,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.990617249922504
2018,2010,1,1,31,1,1,295,0.0842542290038596,0.45945945945945943,14.914123179965662,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.162484271506372
1999,1990,0,1,1,3,2,2,0.019646398534806764,0.5675675675675675,13.51440681653079,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.535739636044429
2000,2000,0,1,9,9,2,4,0.0365006151789075,0.5540540540540541,12.994532278619134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.913422935084764
2001,2000,0,0,5,1,2,98,0.07020904846710899,0.472972972972973,13.554147092530322,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.04311840721742
1997,1990,0,1,8,19,2,203,0.08987230121855984,0.3513513513513513,16.204273438942487,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.48858739003165
2019,2010,1,1,4,4,2,1,0.014028326320106518,0.6351351351351351,12.923914877701906,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.756368419651654
